id,product_id,domain,title,category,brand,url,items,rev
1305990,allbirds.com_6870098346064,allbirds.com,Women's Tree Dasher 2 - Natural Black/Blizzard (Blizzard Sole),999999,allbirds,allbirds.com/products/womens-tree-dashers-natural-black-blizzard,221.0,25406.070000000007
1305639,allbirds.com_6822714867792,allbirds.com,Women's Tree Runners - Hazy Indigo (Blizzard Sole),999999,allbirds,allbirds.com/products/womens-tree-runners-hazy-indigo,271.0,25391.299999999996
1305317,allbirds.com_6697918038096,allbirds.com,Women's Tree Dasher 2 - Natural Black (Natural Black Sole),999999,allbirds,allbirds.com/products/womens-tree-dashers-natural-black-natural-black,198.0,25383.87
1305801,allbirds.com_6854042910800,allbirds.com,Men's Wool Runner Mizzles - Dark Grey (Light Grey Sole),999999,allbirds,allbirds.com/products/mens-wool-runner-mizzles-dark-grey-light-grey,214.0,25169.2
1305556,allbirds.com_6780204843088,allbirds.com,Women's Tree Dasher 2 - Calm Cargo (Blizzard Sole),999999,allbirds,allbirds.com/products/womens-tree-dashers-calm-cargo,231.0,24895.300000000003
1305681,allbirds.com_6826510450768,allbirds.com,Men's Tree Pipers - Natural Black (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-tree-pipers-natural-black,246.0,24639.91999999999
1305963,allbirds.com_6869037187152,allbirds.com,Women's Wool Runner 2 - Natural White/NZ Blue (Natural White Sole),999999,allbirds,allbirds.com/products/womens-wool-runner-2-natural-white-nz-blue,235.0,24469.61
1305098,allbirds.com_1878193471557,allbirds.com,Men's Wool Runners - Natural Grey (Light Grey Sole),999999,allbirds,allbirds.com/products/mens-wool-runners,260.0,24375.64
1305346,allbirds.com_6707719733328,allbirds.com,Smallbirds Wool Loungers - Little Kids - Thrive Teal (Blizzard Sole),999999,allbirds,allbirds.com/products/smallbirds-wool-loungers-little-kids-thrive-teal,538.0,24347.47
1305475,allbirds.com_6752608452688,allbirds.com,Men's Wool Performance Jogger - Natural Black,999999,allbirds,allbirds.com/products/mens-wool-performance-jogger-natural-black,303.0,24311.22
1306029,allbirds.com_6910763958352,allbirds.com,Men's Tree Dasher 2 - Natural Black/Bloom Coral (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-tree-dashers-natural-black-bloom-coral,190.0,23635.0
1305187,allbirds.com_6565494161488,allbirds.com,Men's Tree Pipers - Moonrise (White Sole),999999,allbirds,allbirds.com/products/mens-tree-pipers-moonrise,237.0,23629.440000000002
1305147,allbirds.com_4826214957136,allbirds.com,Women's Wool Loungers - Dapple Grey (Cream Sole),999999,allbirds,allbirds.com/products/womens-wool-loungers,239.0,23357.399999999998
1305191,allbirds.com_6586109395024,allbirds.com,Men's Tree Runners - Wheat (Beige Sole),999999,allbirds,allbirds.com/products/mens-tree-runners-wheat-dark-beige,247.0,23214.870000000003
1305169,allbirds.com_4870550061136,allbirds.com,Women's Tree Loungers - Mist (White Sole),999999,allbirds,allbirds.com/products/womens-tree-loungers,244.0,23170.490000000005
1305842,allbirds.com_6858214277200,allbirds.com,Men's SuperLight Tree Runners - Blizzard/Natural Black (Blizzard Sole),999999,allbirds,allbirds.com/products/mens-superlight-tree-runners-blizzard-natural-black,212.0,23113.1
1305765,allbirds.com_6848588611664,allbirds.com,Women's Tree Runners - Thunder Green (Blizzard Sole),999999,allbirds,allbirds.com/products/womens-tree-runners-thunder-green,271.0,22995.790000000005
1305825,allbirds.com_6858154410064,allbirds.com,Women's Wool Runner Mizzles - Thunder Green (Natural White Sole),999999,allbirds,allbirds.com/products/womens-wool-runner-mizzles-thunder-green,257.0,22856.59
1305738,allbirds.com_6848574914640,allbirds.com,"Women's Tree Flyer 2 - Blizzard, Pure Azure (Blizzard Sole)",999999,allbirds,allbirds.com/products/womens-tree-flyers-blizzard-pure-azure,148.0,22800.310000000005
